,juror,country,fight,role,score,participant,problem,round,fightName
0,Fabian  Cadiz,India,1,Rep,5.0,Hiranmay Das,3. Apples and Oranges,1,Selective Fight 1| Room CO016| Round 1
1,Fabian  Cadiz,Sweden,1,Opp,6.0,Max-Oliver Blom,3. Apples and Oranges,1,Selective Fight 1| Room CO016| Round 1
2,Fabian  Cadiz,USA,1,Mod,6.0,Che Liu,3. Apples and Oranges,1,Selective Fight 1| Room CO016| Round 1
3,Jakob Pedersen,India,1,Rep,7.0,Hiranmay Das,3. Apples and Oranges,1,Selective Fight 1| Room CO016| Round 1
4,Jakob Pedersen,Sweden,1,Opp,9.0,Max-Oliver Blom,3. Apples and Oranges,1,Selective Fight 1| Room CO016| Round 1
5,Jakob Pedersen,USA,1,Mod,6.0,Che Liu,3. Apples and Oranges,1,Selective Fight 1| Room CO016| Round 1
6,Krzysztof Turzynski,India,1,Rep,4.0,Hiranmay Das,3. Apples and Oranges,1,Selective Fight 1| Room CO016| Round 1
7,Krzysztof Turzynski,Sweden,1,Opp,7.0,Max-Oliver Blom,3. Apples and Oranges,1,Selective Fight 1| Room CO016| Round 1
8,Krzysztof Turzynski,USA,1,Mod,2.0,Che Liu,3. Apples and Oranges,1,Selective Fight 1| Room CO016| Round 1
9,Luis Núñez,India,1,Rep,5.0,Hiranmay Das,3. Apples and Oranges,1,Selective Fight 1| Room CO016| Round 1
10,Luis Núñez,Sweden,1,Opp,9.0,Max-Oliver Blom,3. Apples and Oranges,1,Selective Fight 1| Room CO016| Round 1
11,Luis Núñez,USA,1,Mod,6.0,Che Liu,3. Apples and Oranges,1,Selective Fight 1| Room CO016| Round 1
12,Oleg Bezshyyko,India,1,Rep,6.0,Hiranmay Das,3. Apples and Oranges,1,Selective Fight 1| Room CO016| Round 1
13,Oleg Bezshyyko,Sweden,1,Opp,8.0,Max-Oliver Blom,3. Apples and Oranges,1,Selective Fight 1| Room CO016| Round 1
14,Oleg Bezshyyko,USA,1,Mod,5.0,Che Liu,3. Apples and Oranges,1,Selective Fight 1| Room CO016| Round 1
15,Oskari Pakari,India,1,Rep,4.0,Hiranmay Das,3. Apples and Oranges,1,Selective Fight 1| Room CO016| Round 1
16,Oskari Pakari,Sweden,1,Opp,7.0,Max-Oliver Blom,3. Apples and Oranges,1,Selective Fight 1| Room CO016| Round 1
17,Oskari Pakari,USA,1,Mod,4.0,Che Liu,3. Apples and Oranges,1,Selective Fight 1| Room CO016| Round 1
18,Robert Schaller,India,1,Rep,6.0,Hiranmay Das,3. Apples and Oranges,1,Selective Fight 1| Room CO016| Round 1
19,Robert Schaller,Sweden,1,Opp,7.0,Max-Oliver Blom,3. Apples and Oranges,1,Selective Fight 1| Room CO016| Round 1
20,Robert Schaller,USA,1,Mod,4.0,Che Liu,3. Apples and Oranges,1,Selective Fight 1| Room CO016| Round 1
21,Dmytro Oliinychenko,Denmark,1,Rep,7.0,Lise Grüner Hanson,5. Water dancing ball,1,Selective Fight 1| Room CO122| Round 1
22,Dmytro Oliinychenko,France – École polytechnique,1,Opp,8.0,Kyrylo Gerashchenko,5. Water dancing ball,1,Selective Fight 1| Room CO122| Round 1
23,Dmytro Oliinychenko,Greece,1,Mod,5.0,Christina Sofra,5. Water dancing ball,1,Selective Fight 1| Room CO122| Round 1
24,Nina Samylova,Denmark,1,Rep,7.0,Lise Grüner Hanson,5. Water dancing ball,1,Selective Fight 1| Room CO122| Round 1
25,Nina Samylova,France – École polytechnique,1,Opp,7.0,Kyrylo Gerashchenko,5. Water dancing ball,1,Selective Fight 1| Room CO122| Round 1
26,Nina Samylova,Greece,1,Mod,5.0,Christina Sofra,5. Water dancing ball,1,Selective Fight 1| Room CO122| Round 1
27,Samy Adjam,Denmark,1,Rep,8.0,Lise Grüner Hanson,5. Water dancing ball,1,Selective Fight 1| Room CO122| Round 1
28,Samy Adjam,France – École polytechnique,1,Opp,6.0,Kyrylo Gerashchenko,5. Water dancing ball,1,Selective Fight 1| Room CO122| Round 1
29,Samy Adjam,Greece,1,Mod,5.0,Christina Sofra,5. Water dancing ball,1,Selective Fight 1| Room CO122| Round 1
30,Stanislav Vinogradov,Denmark,1,Rep,5.0,Lise Grüner Hanson,5. Water dancing ball,1,Selective Fight 1| Room CO122| Round 1
31,Stanislav Vinogradov,France – École polytechnique,1,Opp,8.0,Kyrylo Gerashchenko,5. Water dancing ball,1,Selective Fight 1| Room CO122| Round 1
32,Stanislav Vinogradov,Greece,1,Mod,7.0,Christina Sofra,5. Water dancing ball,1,Selective Fight 1| Room CO122| Round 1
33,Thiago Americo da Silva Cardoso,Denmark,1,Rep,7.0,Lise Grüner Hanson,5. Water dancing ball,1,Selective Fight 1| Room CO122| Round 1
34,Thiago Americo da Silva Cardoso,France – École polytechnique,1,Opp,7.0,Kyrylo Gerashchenko,5. Water dancing ball,1,Selective Fight 1| Room CO122| Round 1
35,Thiago Americo da Silva Cardoso,Greece,1,Mod,7.0,Christina Sofra,5. Water dancing ball,1,Selective Fight 1| Room CO122| Round 1
36,Anastasiia Vasylchenkova,Australia,1,Rep,6.0,Brigid  Wilson,15. Pouring a Sandcastle,1,Selective Fight 1| Room CO123| Round 1
37,Anastasiia Vasylchenkova,France – Université de Lyon,1,Opp,7.0,Lise Morlet-Decarnin,15. Pouring a Sandcastle,1,Selective Fight 1| Room CO123| Round 1
38,Anastasiia Vasylchenkova,Russia – MIPT,1,Mod,5.0,Anna Nedorubova,15. Pouring a Sandcastle,1,Selective Fight 1| Room CO123| Round 1
39,Andrés  García Castro,Australia,1,Rep,4.0,Brigid  Wilson,15. Pouring a Sandcastle,1,Selective Fight 1| Room CO123| Round 1
40,Andrés  García Castro,France – Université de Lyon,1,Opp,6.0,Lise Morlet-Decarnin,15. Pouring a Sandcastle,1,Selective Fight 1| Room CO123| Round 1
41,Andrés  García Castro,Russia – MIPT,1,Mod,5.0,Anna Nedorubova,15. Pouring a Sandcastle,1,Selective Fight 1| Room CO123| Round 1
42,Antoine Pochelon,Australia,1,Rep,8.0,Brigid  Wilson,15. Pouring a Sandcastle,1,Selective Fight 1| Room CO123| Round 1
43,Antoine Pochelon,France – Université de Lyon,1,Opp,8.0,Lise Morlet-Decarnin,15. Pouring a Sandcastle,1,Selective Fight 1| Room CO123| Round 1
44,Antoine Pochelon,Russia – MIPT,1,Mod,7.0,Anna Nedorubova,15. Pouring a Sandcastle,1,Selective Fight 1| Room CO123| Round 1
45,Arnaud Raoux,Australia,1,Rep,5.0,Brigid  Wilson,15. Pouring a Sandcastle,1,Selective Fight 1| Room CO123| Round 1
46,Arnaud Raoux,France – Université de Lyon,1,Opp,8.0,Lise Morlet-Decarnin,15. Pouring a Sandcastle,1,Selective Fight 1| Room CO123| Round 1
47,Arnaud Raoux,Russia – MIPT,1,Mod,3.0,Anna Nedorubova,15. Pouring a Sandcastle,1,Selective Fight 1| Room CO123| Round 1
48,Aymeric Galan,Australia,1,Rep,4.0,Brigid  Wilson,15. Pouring a Sandcastle,1,Selective Fight 1| Room CO123| Round 1
49,Aymeric Galan,France – Université de Lyon,1,Opp,5.0,Lise Morlet-Decarnin,15. Pouring a Sandcastle,1,Selective Fight 1| Room CO123| Round 1
50,Aymeric Galan,Russia – MIPT,1,Mod,4.0,Anna Nedorubova,15. Pouring a Sandcastle,1,Selective Fight 1| Room CO123| Round 1
51,Nicoletta Mauri,Australia,1,Rep,4.0,Brigid  Wilson,15. Pouring a Sandcastle,1,Selective Fight 1| Room CO123| Round 1
52,Nicoletta Mauri,France – Université de Lyon,1,Opp,7.0,Lise Morlet-Decarnin,15. Pouring a Sandcastle,1,Selective Fight 1| Room CO123| Round 1
53,Nicoletta Mauri,Russia – MIPT,1,Mod,5.0,Anna Nedorubova,15. Pouring a Sandcastle,1,Selective Fight 1| Room CO123| Round 1
54,Stefan Richter,Australia,1,Rep,7.0,Brigid  Wilson,15. Pouring a Sandcastle,1,Selective Fight 1| Room CO123| Round 1
55,Stefan Richter,France – Université de Lyon,1,Opp,9.0,Lise Morlet-Decarnin,15. Pouring a Sandcastle,1,Selective Fight 1| Room CO123| Round 1
56,Stefan Richter,Russia – MIPT,1,Mod,4.0,Anna Nedorubova,15. Pouring a Sandcastle,1,Selective Fight 1| Room CO123| Round 1
