,juror,country,fight,role,score,participant,problem,round,fightName
0,Alberto Rolandi,Slovenia,1,Rep,7.0,Rok Grgic MeskoandMaks Repse,13. Chaotic Magnetic Pendulum,1,Selective Fight 1| Room Room 4| Round 1
1,Alberto Rolandi,France,1,Opp,9.0,Alexis Bonnafont,13. Chaotic Magnetic Pendulum,1,Selective Fight 1| Room Room 4| Round 1
2,Alberto Rolandi,Croatia,1,Mod,7.0,Iskra Hrncic,13. Chaotic Magnetic Pendulum,1,Selective Fight 1| Room Room 4| Round 1
3,John William Sandino del Busto,Slovenia,1,Rep,5.0,Rok Grgic MeskoandMaks Repse,13. Chaotic Magnetic Pendulum,1,Selective Fight 1| Room Room 4| Round 1
4,John William Sandino del Busto,France,1,Opp,8.0,Alexis Bonnafont,13. Chaotic Magnetic Pendulum,1,Selective Fight 1| Room Room 4| Round 1
5,John William Sandino del Busto,Croatia,1,Mod,7.0,Iskra Hrncic,13. Chaotic Magnetic Pendulum,1,Selective Fight 1| Room Room 4| Round 1
6,José Fernando Rodríguez Ruiz,Slovenia,1,Rep,6.0,Rok Grgic MeskoandMaks Repse,13. Chaotic Magnetic Pendulum,1,Selective Fight 1| Room Room 4| Round 1
7,José Fernando Rodríguez Ruiz,France,1,Opp,8.0,Alexis Bonnafont,13. Chaotic Magnetic Pendulum,1,Selective Fight 1| Room Room 4| Round 1
8,José Fernando Rodríguez Ruiz,Croatia,1,Mod,8.0,Iskra Hrncic,13. Chaotic Magnetic Pendulum,1,Selective Fight 1| Room Room 4| Round 1
9,Karen Milena Fonseca Romero,Slovenia,1,Rep,7.0,Rok Grgic MeskoandMaks Repse,13. Chaotic Magnetic Pendulum,1,Selective Fight 1| Room Room 4| Round 1
10,Karen Milena Fonseca Romero,France,1,Opp,8.0,Alexis Bonnafont,13. Chaotic Magnetic Pendulum,1,Selective Fight 1| Room Room 4| Round 1
11,Karen Milena Fonseca Romero,Croatia,1,Mod,7.0,Iskra Hrncic,13. Chaotic Magnetic Pendulum,1,Selective Fight 1| Room Room 4| Round 1
12,Krzysztof Turzynski,Slovenia,1,Rep,3.0,Rok Grgic MeskoandMaks Repse,13. Chaotic Magnetic Pendulum,1,Selective Fight 1| Room Room 4| Round 1
13,Krzysztof Turzynski,France,1,Opp,5.0,Alexis Bonnafont,13. Chaotic Magnetic Pendulum,1,Selective Fight 1| Room Room 4| Round 1
14,Krzysztof Turzynski,Croatia,1,Mod,4.0,Iskra Hrncic,13. Chaotic Magnetic Pendulum,1,Selective Fight 1| Room Room 4| Round 1
15,Mircea Noru Parpalea,Slovenia,1,Rep,7.0,Rok Grgic MeskoandMaks Repse,13. Chaotic Magnetic Pendulum,1,Selective Fight 1| Room Room 4| Round 1
16,Mircea Noru Parpalea,France,1,Opp,8.0,Alexis Bonnafont,13. Chaotic Magnetic Pendulum,1,Selective Fight 1| Room Room 4| Round 1
17,Mircea Noru Parpalea,Croatia,1,Mod,7.0,Iskra Hrncic,13. Chaotic Magnetic Pendulum,1,Selective Fight 1| Room Room 4| Round 1
18,Anastasiia Haieva,Switzerland,1,Rep,5.0,Rayan Harfouche,16. The Midnight Special,1,Selective Fight 1| Room Room 5| Round 1
19,Anastasiia Haieva,Denmark,1,Opp,7.0,Joachim Hermansen,16. The Midnight Special,1,Selective Fight 1| Room Room 5| Round 1
20,Anastasiia Haieva,Sweden,1,Mod,7.0,Luca Terenzi,16. The Midnight Special,1,Selective Fight 1| Room Room 5| Round 1
21,Andrés Camilo Garcia Castro,Switzerland,1,Rep,8.0,Rayan Harfouche,16. The Midnight Special,1,Selective Fight 1| Room Room 5| Round 1
22,Andrés Camilo Garcia Castro,Denmark,1,Opp,8.0,Joachim Hermansen,16. The Midnight Special,1,Selective Fight 1| Room Room 5| Round 1
23,Andrés Camilo Garcia Castro,Sweden,1,Mod,7.0,Luca Terenzi,16. The Midnight Special,1,Selective Fight 1| Room Room 5| Round 1
24,Nikola Poljak,Switzerland,1,Rep,6.0,Rayan Harfouche,16. The Midnight Special,1,Selective Fight 1| Room Room 5| Round 1
25,Nikola Poljak,Denmark,1,Opp,8.0,Joachim Hermansen,16. The Midnight Special,1,Selective Fight 1| Room Room 5| Round 1
26,Nikola Poljak,Sweden,1,Mod,6.0,Luca Terenzi,16. The Midnight Special,1,Selective Fight 1| Room Room 5| Round 1
27,Oscar Mauricio Pimentel Díaz,Switzerland,1,Rep,7.0,Rayan Harfouche,16. The Midnight Special,1,Selective Fight 1| Room Room 5| Round 1
28,Oscar Mauricio Pimentel Díaz,Denmark,1,Opp,8.0,Joachim Hermansen,16. The Midnight Special,1,Selective Fight 1| Room Room 5| Round 1
29,Oscar Mauricio Pimentel Díaz,Sweden,1,Mod,8.0,Luca Terenzi,16. The Midnight Special,1,Selective Fight 1| Room Room 5| Round 1
30,Urban Mur,Switzerland,1,Rep,7.0,Rayan Harfouche,16. The Midnight Special,1,Selective Fight 1| Room Room 5| Round 1
31,Urban Mur,Denmark,1,Opp,8.0,Joachim Hermansen,16. The Midnight Special,1,Selective Fight 1| Room Room 5| Round 1
32,Urban Mur,Sweden,1,Mod,9.0,Luca Terenzi,16. The Midnight Special,1,Selective Fight 1| Room Room 5| Round 1
33,Charlie Pretot,Germany,1,Rep,6.0,Christian Schafer,17. Resistor thermodynamics,1,Selective Fight 1| Room Room 3| Round 1
